SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
149031081,2015-12-30,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,,0,QUEENS,105,1055109.0,183277.0,40.66945442,-73.74456848,POINT (-73.74456848199996 40.66945441700005),2015
271609928,2023-07-18,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,(null),(null),45-64,M,BLACK,0,QUEENS,103,1039939.0,195736.0,40.70375159,-73.79914882,POINT (-73.79914881533699 40.703751591100364),2023
143840787,2015-06-18,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,18-24,M,,0,QUEENS,110,1026084.0,216284.0,40.76023534,-73.84899259,POINT (-73.84899259199995 40.76023534300003),2015
141089503,2015-02-01,DISCON: OBSTRUCT PEDESTRIAN,240.205A,Penal Law,DISORDERLY CONDUCT,25-44,M,UNKNOWN,0,MANHATTAN,28,996606.0,232352.0,40.80442807,-73.95537021,POINT (-73.95537020999996 40.80442807300005),2015
151805661,2016-04-03,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,UNKNOWN,0,QUEENS,115,1022095.0,214739.0,40.75601269,-73.86340042,POINT (-73.86340042099994 40.75601269200007),2016
141433969,2015-03-16,URINATING IN PUBLIC,153.09,Health Code,URINATING,45-64,M,UNKNOWN,0,QUEENS,115,1014591.0,211427.0,40.74695103,-73.89050092,POINT (-73.89050092199994 40.74695102800007),2015
159256771,2016-12-10,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,UNKNOWN,0,QUEENS,110,1021870.0,209803.0,40.74246559,-73.86424017,POINT (-73.86424016699993 40.742465590000045),2016
187199091,2018-09-04,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BRONX,45,1032091.0,241976.0,40.83072233,-73.82712606,POINT (-73.82712606 40.83072233),2018
159353397,2016-12-07,UNREGISTERED VEHICLE,401,VTL,VTL,45-64,M,BLACK HISPANIC,0,BRONX,43,1025847.0,240311.0,40.826184,-73.84969928,POINT (-73.84969928199997 40.82618399900008),2016
143032543,2015-05-17,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,45-64,M,,0,MANHATTAN,18,988757.0,216332.0,40.76046491,-73.98373241,POINT (-73.98373241099996 40.760464910000046),2015
313017736,2025-09-16,UNREGISTERED VEHICLE,401,VTL,VTL,18-24,M,WHITE HISPANIC,0,BROOKLYN,81,1005319.0,190473.0,40.6894643,-73.92402909,POINT (-73.9240290899499 40.6894642952604),2025
147630757,2015-11-04,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BRONX,50,1011722.0,261759.0,40.88510755,-73.9006491,POINT (-73.90064910399997 40.88510755100003),2015
145307809,2015-08-07,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,25-44,F,,0,BRONX,42,1012860.0,244801.0,40.83855936,-73.89660592,POINT (-73.89660592299998 40.83855936400005),2015
145308087,2015-08-12,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BRONX,45,1032047.0,242037.0,40.83088999,-73.82728462,POINT (-73.82728461999993 40.83088999300003),2015
291127986,2024-08-03,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,67,1003422.0,178505.0,40.65661089,-73.93090207,POINT (-73.93090206546258 40.65661089034527),2024
